Year;Revenue;Expenses;Operatating profit;Financial items;Profit before tax;Net profit
2022;64.647;46.726;17.921;00.245;17.676;13.782
2021;55.294;38.250;17.044;00.039;17.005;13.285
2020;43.656;30.744;12.912;00.412;12.500;9.916
2019;38.544;27.707;10.837;00.085;10.752;8.306
2018;36.391;25.617;10.774;00.264;10.510;8.076
2017;34.995;24.636;10.359;00.158;10.201;7.806
2016;37.934;25.486;12.448;00.057;12.391;9.436
2015;35.780;23.536;12.244;00.096;12.148;9.174
2014;28.578;18.881;9.697;00.206;9.491;7.025
2013;25.294;16.958;8.336;00.097;8.239;6.119
2012;23.095;15.489;7.606;00.084;7.522;5.613
2011;18.731;13.065;5.666;00.124;5.542;4.160
2010;16.014;10.899;4.973;0.084;4.889;3.718
2009;11.661;8.659;2.902;0.015;2.887;2.204
2008;9.526;7.522;2.100;0.248;1.852;1.352
2007;8.027;6.556;1.449;0.035;1.414;1.028
2006;7.798;6.393;1.325;0.044;1.281;1.290
